Question	Answer1	Answer2	SU Type	SU Sub Type	Question Type
what are the names of the sisters ?	laura and lizzie	laura and lizzie	Concept	Entity	Attribute of Concept
who do the goblins imprision ?	curdie	curdie	Concept	Entity	Event Argument - Concept
why did n't the picture restore itself after dorian decided to be good ?	his motives were n't pure	his true motives for being good were still vanity and curiosity .	Event	Event Expression	Temporal Relation
what gods do the goths worship ?	odin and tyr	odin and tyr .	Concept	Entity	Event Argument - Concept
where is hector from ?	troy	troy	Concept	Entity	Relation between Concepts
what does the old language sound compared with the new language ?	like a barbaric tongue .	barbarous tongue	Attribute	Descriptions	Attribute of Concept
which descriptions of the future world does soames provide upon his return ?	vague and nondescript	ones that are vague	Attribute	Descriptions	Temporal Relation
into what three sections is the forest of mirkwood divided into ?	"upper-mark , mid-mark and nether-mark"	"upper , mid and nether mark"	Concept	Entity	Relation between Concepts
how long until someone will be permitted to enter la grande breteche ?	50 years after the owner s death .	50 years	Attribute	Numerics	Temporal Relation
when does diana realize she is in love with ahmed ?	diana realizes she is in love with ahmed when he recaptures her from his rival who kidnapped her .	after she s recaptured	Event	Event Expression	Temporal Relation
how were the men able to find fuel for the spaceship ?	the first planet had robots that fueled the ship .	they visited a refueling station .	Event	Event Expression	Causal Relation
how many years passed before chingachgook and bumppo return to hutters ' house ?	15 years	15 years	Attribute	Numerics	Temporal Relation
why did n't baron henry just kill otto instead of cutting his hand off ?	otto was so young .	because otto is young	Attribute	States	Causal Relation
what is the name of the pictish wizard ?	zohar sag .	zogar sag	Attribute	States	Attribute of Concept
why does ermyntrude want to get a job as a lady s maid ?	so she can find another rich man to marry .	her father told her to get the job .	Event	Event Expression	Causal Relation
what is henry march s alias ?	hurry harry	hurry harry	Concept	Entity	Relation between Concepts
what type of subjects does lantier like to paint ?	real subjects in real places .	real subjects	Concept	Common Noun Phrases	Event Argument - Concept
whose daughter has innocent always thought she was ?	jocelyn	jocelyn s .	Concept	Entity	Nested Relation
who marries kate ?	pete	pete .	Concept	Entity	Event Argument - Concept
what type of ancestors did christopher blake have ?	rich ancestors .	aristocratic	Attribute	States	Attribute of Concept
what happens when laura plants the seed from the goblin fruit ?	nothing grows from the seed	nothing grew .	Event	Event Expression	Temporal Relation
how many siblings does rebecca have ?	six	six	Attribute	Numerics	Attribute of Concept
who are the people that christopher supports besides himself ?	his blind mother and his two sisters .	his mother and two sisters	Concept	Entity	Event Argument - Concept
who is the owner of the firm of girdlestone ?	john girdlestone	john girdlestone and his son	Concept	Entity	Relation between Concepts
how does violet feel about miranda ?	she finds her provincial and dislikes her	she finds miranda horrible	Attribute	Descriptions	Relation between Concepts
where does gilbert discover that helen is rich ?	in grassdale .	staningley .	Concept	Entity	Event Argument - Concept
how did tom find out about photos being transmitted over telegraph lines ?	reading a news event .	he read it in the news .	Event	Event Expression	Nested Relation
who is ernest s godfather ?	overton	"overton , the narrator of the story ."	Concept	Entity	Relation between Concepts
what is tulkinghorn concerned about ?	lady dedlock s secret could be a threat to the interests of sir . leicester .	that lady dedlock s secret may compromise sir leicester	Event	Event Expression	Nested Relation
what food is available after the shipwreck ?	tinned meat	tinned meat and champagne .	Concept	Common Noun Phrases	Temporal Relation
where does the rescue team decide to search first ?	south america	south america .	Concept	Entity	Event Argument - Concept
what were beerbohm and soames arguing about ?	whether or not beerbohm would have written about soames in such a fashion .	whether or not beerbohm would write something negative about soames	Event	Event Expression	Nested Relation
how did anne feel after roy proposed to her ?	she realized she was only chasing a dream and was not in love with roy .	she realizes she does n't love him just the idea of being in love	Attribute	Descriptions	Temporal Relation
what state is deerslayer located in ?	new york	new york .	Concept	Entity	Relation between Concepts
who did the goths rely on to foretell the future ?	they relied on seers and psychics .	seers	Concept	Entity	Event Argument - Concept
what does troilus try to persuade cresida to do ?	elope	elope	Event	Event Expression	Nested Relation
where is grassou trying to enter ?	the academy .	the academy	Concept	Entity	Event Argument - Concept
who is will ?	mr. fletcher s grandson .	mr. fletcher s grandson .	Concept	Entity	Attribute of Concept
what college does anne attend at the beginning of the story ?	redmond college	redmond college	Concept	Entity	Event Argument - Concept
where did harney go after leaving mr.royall s home ?	to a nearby village .	a nearby village .	Concept	Entity	Temporal Relation
what did baron henry do to otto instead of killing him ?	he cutted off his right hand .	chopped off his right hand	Event	Event Expression	Nested Relation
who was under suspicion for the forged check ?	william falder	william falder	Concept	Entity	Event Argument - Concept
how does claude die ?	he hangs himself .	suicide	Event	Event Expression	Nested Relation
what was the subject of this piece ?	its a critique on the subject of naming .	the correctness of names and naming things .	Attribute	Descriptions	Attribute of Concept
why was mortimer trefinnis once estranged from his siblings ?	the matter of the division of the proceeds from selling the family business .	because of the division of proceeds from selling the family business .	Event	Event Expression	Causal Relation
what is the name of lady dedlock s lover ?	captain hawdon	captain hawdon .	Concept	Entity	Relation between Concepts
why did nina s mother want her to marry dain ?	she wanted her daughter to stay native because she did not trust the white men .	so that nina would be more native	Event	Event Expression	Causal Relation
why does hypatia end up not converting to christianity ?	she is murdered before she has the chance .	she is murdered .	Event	Event Expression	Causal Relation
what victory were they celebrarting at woodstock ?	victory at worcester .	the victory at worcester	Event	Event Name	Event Argument - Concept
"fox , ashe and murdock disguised as what when they travelled to the past ?"	folsom hunters .	folsom hunters	Concept	Entity	Temporal Relation
at which restaurant does soames meet beerbohm ?	restaurant du vingtieme siecle	restaurant du vingtieme siecle .	Concept	Entity	Event Argument - Concept
why does eliza spread rumors about helen ?	gilbert markham becomes interested in mrs. graham .	she s jealous of gilbert s attention to helen	Attribute	Descriptions	Causal Relation
what is the reason that the inca wanted to meet the princess ?	he wanted the princess to marry one of his sons .	he wanted to propose marriage	Event	Event Expression	Causal Relation
what does raphael aben-ezra do to win the love of a woman named victoria ?	raphael aben-ezra converts to christianity .	converts	Event	Event Expression	Nested Relation
what island happened to be captain grant s shelter ?	tabor island	tabor island .	Concept	Entity	Event Argument - Concept
what happen to travis fox in the canyon ?	he was captured by three men .	gets captured	Event	Event Expression	Nested Relation
who first gives dorian gray the idea of living a life where the only important things are beauty and sensual fulfillment ?	lord henry wotton	lord henry wotton .	Concept	Entity	Nested Relation
who is claude s circle interested in challeging ?	establishment	the art world s establichment	Concept	Entity	Event Argument - Concept
what was almayer always trying to do ?	he was always trying to find a hidden gold mine and become wealthy .	"improve his status by finding gold , wealth"	Event	Event Expression	Event Trigger
what battle did albert die in ?	dunkirk .	the battle of dunkirk .	Concept	Entity	Event Argument - Concept
who is dain maroola ?	"a malayan prince who wanted to talk to almayer about trading , but ended up falling in love with almayer s daughter nina ."	a malayan prince	Attribute	Descriptions	Attribute of Concept
who did mrs. cheveley steal the diamond brooch from ?	"lord goring s cousin , mary berkshire ."	mary berkshire .	Concept	Entity	Event Argument - Concept
for what reason did the soviet union ban the stoy ?	they alleged it contained occultism .	occultism	Event	Event Expression	Causal Relation
who is sally s boyfriend ?	harry	harry .	Concept	Entity	Relation between Concepts
what is henry s title ?	lord	lord .	Concept	Common Noun Phrases	Attribute of Concept
where does the ship sail to ?	london	london .	Concept	Entity	Event Argument - Concept
where is aryton left at when they find captain grant ?	tabor island	a desert island .	Concept	Entity	Temporal Relation
what article of clothing does pozdnyshev feel is designed to arouse men ?	dresses	women s dresses .	Concept	Entity	Event Argument - Concept
whose jubilee is occurring ?	queen victoria	queen victoria .	Concept	Entity	Event Argument - Concept
what was newton in when he arrived on earth ?	a lifeboat	lifeboat	Concept	Entity	Event Argument - Concept
who does princess befriend who works as a coal miner ?	curdie	curdie	Concept	Entity	Relation between Concepts
how does barabas escape execution ?	he feigns his death .	feigning death	Event	Event Expression	Nested Relation
which gang was the traitors ?	sinsings	the singsings	Concept	Entity	Attribute of Concept
what does a drink from narcissus s spring cause the drinker to do ?	fall in love with themselves	grow dotingly enamored with themselves	Event	Event Expression	Causal Relation
is plilammon n only child ?	he has a sister named pelagia .	"no , he has a long-lost sister ."	Attribute	Descriptions	Attribute of Concept
what does peggy gray do despite discovering brewster is now poor ?	she marries him anyway .	accepts brewster and marries him .	Event	Event Expression	Nested Relation
what causes hypatia to almost convert to christianity ?	hypatia has a spiritual crisis .	undergoes a spiritual crisis	Event	Event Expression	Causal Relation
where does the wotton live ?	london	england .	Concept	Entity	Relation between Concepts
what is basil infatuated with ?	dorian s beauty	dorian s beauty .	Attribute	States	Event Argument - Attribute
who proposes to liza ?	tom	tom	Concept	Entity	Event Argument - Concept
who is calchas ' daughter ?	criseyde	cirseyde	Concept	Entity	Relation between Concepts
why does laura get sick ?	she s craving the goblin fruit and ca n't get any of their food	she craves the forbidden bruit but can	Event	Event Expression	Causal Relation
why is pozdnyshev acquitted ?	because his wife had an affair	his wife was committing adultery	Event	Event Expression	Causal Relation
where does the witch live ?	in a secret cave near a fountain	the atlas mountains	Concept	Entity	Relation between Concepts
what does cratylus believe about names ?	that they have divine origins .	its correctness	Attribute	States	Event Argument - Attribute
what happens to josiah immediately after he and thordora marry ?	he falls ill .	he gets sick	Event	Event Expression	Temporal Relation
who has to care for christopher s mother and his two sister s after his father s death ?	christopher has to care for his mother and sisters after his father dies .	christopher	Concept	Entity	Temporal Relation
how does kate try to kill herself ?	she jumps into the harbour .	by throwing herself in the harbour	Event	Event Expression	Nested Relation
how many years did christopher work for mr. fletcher ?	he worked for 15 years .	fifteen years	Attribute	Numerics	Event Argument - Attribute
who does raphael abenezra convert to christianity for ?	victoria .	victoria .	Concept	Entity	Event Argument - Concept
who does diana represent ?	queen elizabeth .	queen elizabeth	Concept	Entity	Event Argument - Concept
what is dick forrest s profession ?	a rancher	he s a rancher .	Attribute	States	Attribute of Concept
what does soames complain to beerbohm about ?	that his great talent will remain unnoticed until after he is dead	that he is not recognised as a great writer .	Event	Event Expression	Nested Relation
"before the girdlestones can complete their scheme , where are diamonds found ?"	in south africa	south africa .	Concept	Entity	Temporal Relation
"on a trip to nettleton , what present does harney buy for charity ?"	a brooch	a brooch .	Concept	Common Noun Phrases	Temporal Relation
what kind of injustices do the stories point out ?	social injustices .	social injustices	Concept	Common Noun Phrases	Event Argument - Concept
why was travis fox in the canyon ?	he was looking for water for his cattle .	he was looking for water for his cattle .	Event	Event Expression	Causal Relation
where is josiah brown from ?	australia	australia	Concept	Entity	Relation between Concepts
what does mrs. cheveley want from lord goring in exchange for sir robert s letter ?	for lord goring to consent to marry her .	stolen diamond brooch	Event	Event Expression	Nested Relation
who does anne befriend during her first week of school ?	philippa gordon	philippa gordon	Concept	Entity	Temporal Relation
what does socrates state he should do instead of breaking the law ?	persuade his release	he should try and persuade the laws to let him go .	Event	Event Expression	Nested Relation
what does curdie steal ?	one of the queen s shoes .	one of the shoes of the queen goblin	Concept	Entity	Event Argument - Concept
why did diana grow up tomboyish ?	her parents died when she was young	parents died	Event	Event Expression	Causal Relation
who does mortimer blame for the death of his sister ?	the devil	the devil .	Concept	Common Noun Phrases	Event Argument - Concept
what was paul s profession before he became a professor ?	a clergyman	english clergyman .	Concept	Common Noun Phrases	Temporal Relation
"after jarndyce cancels his engagement , who did esther become engaged to ?"	mr. woodcourt	mr. woodcourt	Concept	Entity	Temporal Relation
what economic statement is the source of a lot of anxiety to the jews ?	the statement do n't buy from jews .	signs posted say ot to buy from jews	Event	Event Expression	Causal Relation
where does barabas live ?	malta	malta	Concept	Entity	Relation between Concepts
to what did the inca attribute his popularity ?	the war	the war will result in his being super-president of the republic .	Concept	Entity	Event Argument - Concept
what does socrates compare creating a word to ?	the work of an artist .	to an artist s work .	Concept	Common Noun Phrases	Event Argument - Concept
who had written the article soames found ?	t.k . nupton	t.k . nupton	Concept	Entity	Event Argument - Attribute
what song do pozdnyshev s wife and the violinist perform together ?	kreutzer sonata	beethoven s kreutzer sonata	Concept	Entity	Event Argument - Concept
bennett landsmann ends up working for what institution after school ?	yale-new haven hospital	yale-new haven hospital	Concept	Entity	Temporal Relation
what does holmes kick over in the house ?	watering can	a pot used for watering .	Concept	Common Noun Phrases	Event Argument - Concept
where did falder work after he got out of prison ?	james how and son	james how & son	Concept	Entity	Event Argument - Concept
what advice does vasudeva give siddhartha about his son running away ?	to let him follow his own path .	let his son find his own path	Event	Event Expression	Nested Relation
how does the professor refer to germany ?	as the fatherland	favorable and above other nations	Attribute	Descriptions	Event Argument - Attribute
who was overseeing diana when she first escaped ?	gaston	gaston	Concept	Entity	Event Argument - Concept
where does wyman end up after leaving harvard ?	silicon valley	silicon valley biotechnology company .	Concept	Entity	Temporal Relation
what is bartley s relationship to maurya ?	bartley is maurya s son .	her last living son	Attribute	States	Relation between Concepts
why did ashe wanted travis fox to travelled to the past ?	to look for a spaceship .	he studied archaeology	Event	Event Expression	Causal Relation
what are the names of emily s two step sons ?	john and lawrence cavendish .	john and lawrence cavendish	Concept	Entity	Relation between Concepts
who announces the events that are to come to the dismay of the others on stage ?	anaides	anaides	Concept	Entity	Nested Relation
what is the main difficulty in rescuing the britannia ?	"only the latitude of the wreckage is known , not the longitude ."	the coordinates are erased and only the latitude is known .	Attribute	Descriptions	Nested Relation
what did the housekeeper do when she discovered mortimer trefinnis ' sister dead and his brothers laughing and singing ?	she fainted .	she fainted	Attribute	States	Causal Relation
who is the captain disguised as when he reaches windsor ?	a roundhead	as a roundhead	Concept	Common Noun Phrases	Temporal Relation
what does diana tell the courtiers to do after the dance ?	purify themselves by bathing in a sacred spring	unmask	Event	Event Expression	Temporal Relation
what does miranda leave rebecca in her will ?	the land and farm	a lot of money	Concept	Common Noun Phrases	Event Argument - Concept
where do sir leicester dedlock and his wife live ?	on dedlock s estate at chesney wold .	sir dedlock s estate at chesney wold .	Concept	Entity	Relation between Concepts
what does dorian decide is the only thing that will absolve him of wrongdoing ?	confession	a full confession .	Event	Event Name	Nested Relation
who is the protagonist of this story ?	newton	thomas jerome newton	Concept	Entity	Book Attribute
what does mary do for amy s family ?	mary pays off the family s debts .	pay their debts	Event	Event Expression	Event Trigger
what does frome beg of the jury ?	the man s innocence .	compassion	Concept	Common Noun Phrases	Event Argument - Concept
who s viewpoint is all but four of the storys told from ?	dr. watson	dr. watson	Concept	Entity	Book Attribute
what is the fatal thought that grassou is believed unable to remove from his heart ?	that artists laugh at and ridicule his work .	that other artists laugh at his work .	Event	Event Expression	Nested Relation
where did mrs. inglethorpe take her document case ?	to bed with her	to her bedroom .	Concept	Entity	Event Argument - Concept
what is an example of accomplishments ?	dancing	having been taught to dance .	Event	Event Expression	Attribute of Concept
who are emily s stepsons ?	john and lawrence cavendish	john cavendish and lawrence cavendish	Concept	Entity	Attribute of Concept
what gift did the inca give to the princess ?	a jewel	a jewel	Concept	Common Noun Phrases	Event Argument - Concept
why did alfred incriminate himself with false evidence ?	to use double jeopardy to get out of the crime if there was real evidence .	so it could be refuted at his trial .	Event	Event Expression	Causal Relation
what hardship is occuring on anthea ?	severe drought	drought	Concept	Common Noun Phrases	Relation between Concepts
who does mrs. mcbride marry ?	dominic fitzgerald .	dominic fitzgerald	Concept	Entity	Relation between Concepts
the queen of the goblins wear what type of shoes ?	stone shoes	stone shoes .	Concept	Common Noun Phrases	Attribute of Concept
what is john s final plan to regain riches for the firm ?	he wants to kill the daughter to save the firm .	have his son marry the girl who received a large inheritance .	Event	Event Expression	Nested Relation
what news does falder learn about his love ?	she has sold herself	she was forced to sell herself	Event	Event Expression	Nested Relation
what holiday does this story start on ?	thanksgiving	thanksgiving	Concept	Common Noun Phrases	Book Attribute
who gets jealous and goes away on a trip ?	pozdnyshev	pozdnyshev	Concept	Entity	Event Argument - Concept
why does maurya go after bartley ?	to bless his voyage	to bless his voyage	Event	Event Expression	Causal Relation
who does liza s friend sally marry ?	harry .	harry	Concept	Entity	Relation between Concepts
who found innocent s birth father ?	lord blythe .	lord blythe .	Concept	Entity	Relation between Concepts
what is the name of the island on which paul and virginia land ?	chausible island	chausible	Concept	Book-Specific	Attribute of Concept
who is innocent s birth mother ?	lady bluthe	lady blythe .	Concept	Entity	Relation between Concepts
what ability do the seers have that the germanic tribes seek ?	a psychic ability	they can see the future .	Event	Event Expression	Nested Relation
what doe paula wound herself with ?	a rifle	rifle	Concept	Common Noun Phrases	Event Argument - Concept
who comforts otto while he is in captivity ?	"baron henry s daughter , pauline"	pauline	Concept	Entity	Temporal Relation
what does gilbert accuse mrs. graham of ?	he accuses her of loving lawrence .	loving lawrence .	Event	Event Expression	Event Trigger
what prestigious membership does sir roberts belong to ?	the house of commons	house of commons	Concept	Book-Specific	Event Argument - Concept
what happens when lizzie returns home to laura from the goblin market ?	lizzie feeds laura the pulp and fruit from her body .	she is in a trance	Event	Event Expression	Temporal Relation
"cronos and rhea are names of the ancestors of gods , but also what ?"	streams .	names of streams .	Concept	Common Noun Phrases	Attribute of Concept
who was louis kerneguy introduced as ?	alberts scotch page .	albert s scotch page	Concept	Entity	Event Argument - Concept
what is dabuche s occupaton besides painting ?	architect	a musician .	Concept	Common Noun Phrases	Relation between Concepts
what is the name of the ship ?	australasian	astralasian .	Concept	Book-Specific	Attribute of Concept
who does falder believe could be murdered by her husband ?	ruth honeywill	ruth honeywill	Concept	Entity	Nested Relation
why did dorian blame basil ?	because basil introduced dorian to lord henry	he blames him for his fate	Event	Event Expression	Causal Relation
where was virginia traveling to ?	chausible island	chausible island to meet her husband .	Concept	Entity	Event Argument - Concept
who helps barabas get back some of his assets ?	abigail	abigail	Concept	Entity	Nested Relation
what is the name of the character who is from new york ?	violet ray .	violet ray	Concept	Entity	Attribute of Concept
what is the last painting of claude s accepted by the salon des refuses ?	a painting of his dead son .	a picture of his dead son	Concept	Book-Specific	Event Argument - Concept
what is the deal the devil offers ?	soames will be transported to the future for one afternoon in exchange for his soul	the devil gets soames ' soul in exchange for soame to ge a glance of what people say about him posthumously as an author anwhile the	Event	Event Expression	Event Trigger
"hermongenes believes that names do not reflect an objects nature , but have come about due to what ?"	custom .	custom and convention .	Concept	Common Noun Phrases	Causal Relation
when princess irene hurts her hand who heals it for her ?	her great-great grandmotherwho is her namesake	her great great grandmother	Concept	Entity	Temporal Relation
what does pierrie sandoz do for a living ?	he is a novelist .	novelist	Concept	Common Noun Phrases	Relation between Concepts
what event does calchas foretell ?	the fall of troy	the fall of troy	Event	Event Name	Event Argument - Concept
who is the bull god ?	apis	apis	Concept	Book-Specific	Attribute of Concept
who sends hector the letter really meant for him ?	josiah	morella winmarleigh .	Concept	Entity	Relation between Concepts
where are several of grassou s pieces displayed ?	in the vervelle mansion	vervelle mansion	Concept	Entity	Event Argument - Concept
who is having serious financial problems ?	mr. damon .	mr. damon	Concept	Entity	Event Argument - Concept
what play does his song recall ?	the acorn planters .	the acorn planters	Concept	Book-Specific	Event Argument - Concept
who lives in the area called the mark ?	the goths	morris ' goths	Concept	Entity	Relation between Concepts
from where does this play originate ?	church choir	boys ' company	Concept	Entity	Relation between Concepts
who is maurya s brother ?	michael	maurya s brother is bartley	Concept	Entity	Relation between Concepts
how many years into the future was soames sent ?	100 years	100 .	Attribute	Numerics	Event Argument - Attribute
what does grassou do for a living ?	a mediocre painter of forgeries .	forges paintings .	Event	Event Expression	Relation between Concepts
how many sections was the mark divided into ?	three .	three sections	Attribute	Numerics	Event Argument - Attribute
what happens after richard is abdicated ?	the proctectorate was abolished and the country turns into chaos	chaos in the country	Event	Event Expression	Temporal Relation
how does the clergyman on the island die ?	he falls off a cliff .	falls off of a cliff	Event	Event Expression	Event Trigger
how long has socrates lived with the athenian way of life ?	seventy years	seventy years .	Attribute	Numerics	Event Argument - Attribute
how does newton feel about failing his mission ?	bitter	he is bitter that his blindness has caused him to be unable to continue the mission	Attribute	States	Nested Relation
what people are the gothic tribes defending themselves from ?	the romans	imperial rome	Concept	Common Noun Phrases	Event Argument - Concept
what brings kate back to pete ?	she hears that her child is sick .	fortune	Event	Event Expression	Nested Relation
what must siddhartha do to win kamala s love ?	he must become wealthy .	he must get rich	Event	Event Expression	Causal Relation
what do the goblins do when they realize lizzie wants to buy a piece of fruit using a silver coin ?	"they got angry , tried to force her to eat the fruit , then they covered her in pulp and juice from the fruit"	they beat lizzie and try to force feed her the fruit .	Event	Event Expression	Temporal Relation
what is liza kemp s profession ?	she is a factory worker .	factory worker	Attribute	Common Noun Phrases	Relation between Concepts
"in 1496 , who declares war on the french king and florence , his ally ?"	the league of venice	league of venice	Concept	Common Noun Phrases	Event Argument - Concept
ellen practiced what two things ?	bigamy and alcoholism .	she is a bigamist and an alcoholic	Concept	Common Noun Phrases	Event Argument - Concept
whose money was it that monty had to spend all of in a year ?	his grandfather s money .	his grandfather s .	Concept	Book-Specific	Event Argument - Concept
how did dorian know that his initial desire was fulfilled ?	his face in the painting changed	he notices his portrait changed .	Event	Event Expression	Nested Relation
what is the real name of the man called deerslayer ?	natty bumppo	natty bumppo	Concept	Entity	Attribute of Concept
what happens to laura as she again ate the goblin fruit ?	laura was disgusted by the taste of the fruit and was completely healed by morning .	it tasted disgusting	Event	Event Expression	Temporal Relation
what is william platt s relationship to miranda hope ?	platt is a miranda s suitor	a previous suitor	Concept	Common Noun Phrases	Nested Relation
who did the heiress emily cavendish marry after the death of mr. cavendish ?	alfred inglethorpe	alfred inglethorpe	Concept	Entity	Temporal Relation
which traveler finds the other travelers sub-human ?	herr professor	herr professor	Concept	Entity	Event Argument - Concept
where do mr. and mrs. vervelle live ?	in a mansion in ville-d'avray .	ville-d'avray	Concept	Entity	Relation between Concepts
barney livingston goes to work for what instiution after college ?	new york state psychiatric institute	new york state psychiatric institute	Concept	Entity	Event Argument - Concept
what does mrs. cheveley attempt to backmail sir robert ?	she wants sir robert to support an illegial scheme to build a canel in argentina .	a letter to baron arnheim	Event	Event Expression	Relation between Concepts
who gets kate out of prison ?	phillip	phillip	Concept	Entity	Event Argument - Concept
who did baron conrad kill ?	baron frederick	baron frederick	Concept	Entity	Event Argument - Concept
why did mr. royall want harney to leave his home ?	he noticed a closeness of him and charity .	mr. royall notices his and charity s growing closeness .	Event	Event Expression	Causal Relation
although says he will never forgive nina what does he promise to do ?	to take her and dain to the mouth of the river where they would find a boat to help them escape	he still promises to help her escape	Event	Event Expression	Nested Relation
who does ernest marry ?	"ellen , his parent s former housemaid"	he marries ellen .	Concept	Entity	Relation between Concepts
who is wounded trying to save diana ?	ahmed	ahmed	Concept	Entity	Event Argument - Concept
what job does ernest take up after he is released from prison ?	tailoring	tailor	Concept	Common Noun Phrases	Temporal Relation
what type of landscape did the men find on the second planet ?	desert .	a desert landscape .	Concept	Common Noun Phrases	Attribute of Concept
what does huntingdon use to manipulate helen and convince her to marry him ?	he flirts with annabella .	flirting with annabelle	Event	Event Expression	Nested Relation
how does liza get a black eye ?	jim hits her	"her husband , jim , hits her across the face , giving her a black eye ."	Event	Event Expression	Event Trigger
on what river was fort tuscelan ?	the black river .	black river	Concept	Book-Specific	Relation between Concepts
what was bennett landsmann known for in school ?	a rhodes scholar	rhodes scholar	Concept	Book-Specific	Relation between Concepts
what kind of paintings does pierre paint ?	forgeries .	forgeries from other artists .	Concept	Common Noun Phrases	Attribute of Concept
who tries to limit brewster s losses ?	his friends	his friends	Concept	Entity	Event Argument - Concept
whose influence does girdlestone want to use ?	"a collector , who is a member of parliament ."	charity collector .	Concept	Common Noun Phrases	Event Argument - Concept
barabas is awarded governorship of what city ?	malta	malta	Concept	Entity	Event Argument - Concept
who was rebecca named after ?	two heroines in ivanhoe	the two heroines in ivanhoe	Concept	Book-Specific	Relation between Concepts
what is the name of paula s second lover ?	evan graham	evan graham	Concept	Entity	Relation between Concepts
who gives overton a fortune to give to ernest before her death ?	alethea	aunt alethea	Concept	Entity	Temporal Relation
what activity did pozdnyshev engage in when he was young ?	visiting prostitutes	seeing prostitutes	Concept	Common Noun Phrases	Relation between Concepts
barney livingston and laura castellano are neighbors in what city ?	brooklyn	brooklyn	Concept	Entity	Relation between Concepts
what is the name of the ship virginia travels on ?	the australasian	australasian	Concept	Book-Specific	Event Argument - Concept
where is herr professor from ?	germany	germany	Concept	Entity	Relation between Concepts
what type of medicine does barney want to practice ?	barney is drawn to psychiatry .	psychiatrist	Concept	Common Noun Phrases	Attribute of Concept
what is grassous biggest disappointment ?	that he is not a true artist .	he does n't feel he is a true artist .	Attribute	Descriptions	Nested Relation
how was mortimer able to see movement outside the window ?	he turned towards the window because he saw one of his brother s looking out	he turns and looks after a brother looks at the window .	Event	Event Expression	Nested Relation
when did helen decide to hand her diaries to gilbert ?	after he accused her of loving lawrence .	when gilbert accuses her of loving lawrence .	Event	Event Expression	Temporal Relation
what does mary do when she hears that henry s consumption has worsened ?	she cares for him until he dies.l	she returns to his side and cares for him until he passes away .	Event	Event Expression	Temporal Relation
how much was the check that was issued by robert cokeson forged for ?	ninety pounds	90	Attribute	Numerics	Attribute of Concept
who did the captain have an interview with ?	oliver cormwell	oliver cromwell .	Concept	Entity	Event Argument - Concept
why was the check forged ?	falder needed the money to run away with the woman he loved .	to escape with ruth	Event	Event Expression	Causal Relation
who does monty save from drowning ?	a sailor .	a sailor	Concept	Entity	Event Argument - Concept
what two characters seek to take scalps ?	henry march and tom hutter .	henry and tom	Concept	Entity	Event Argument - Concept
when was it banned in the soviet union ?	in 1929 .	1929 .	Attribute	Numerics	Event Argument - Attribute
what did the gridlestones do to create a favorable impression ?	made a small donation to charity .	he donated 25 pounds to charity .	Event	Event Expression	Nested Relation
what medical disorder afflicts paula ?	insomnia .	insomnia	Concept	Common Noun Phrases	Event Argument - Concept
what does montegomery brewster receive from his grandfather ?	a one million dollar inheritance .	$ 1 million	Concept	Common Noun Phrases	Event Argument - Concept
"of the three planets where the spaceship landed , which was most like earth ?"	the third ( last )	the third planet .	Concept	Book-Specific	Attribute of Concept
how does troilus eventually die ?	he dies in battle	in battle .	Concept	Common Noun Phrases	Event Argument - Concept
what happens to balthus and slasher when defending the settlers from the picts ?	they die	the end up dying	Event	Event Expression	Temporal Relation
whom takes all of barabas s wealth ?	the maltese governor .	maltese governor	Concept	Entity	Event Argument - Concept
"how do liza kemp , tom , and their party travel to a nearby village on the august bank holiday monday ?"	by a horse-drawn coach .	coach	Attribute	Descriptions	Event Argument - Attribute
who wrote der judenstaat ?	herzi .	herzl	Concept	Entity	Relation between Concepts
what does a citizen willingly do if they agree to live in athens ?	comply with the laws	endorse and abide by the laws .	Attribute	Descriptions	Causal Relation
what does troilus do when he thinks the plan is n't working ?	he swoons .	he swoons	Event	Event Expression	Temporal Relation
what is bartley planning to sell in connemara ?	a horse .	a horse	Concept	Common Noun Phrases	Event Argument - Concept
where are orlando s wits found ?	on the moon	the moon	Concept	Entity	Event Argument - Concept
what is strange about the grave in the story ?	grass does n't grow on it	no grass grows on it .	Attribute	Descriptions	Attribute of Concept
what does n't miranda like about europe ?	how women are treated	the old world treatment of its women	Attribute	Descriptions	Nested Relation
who does criseyde later accept as a lover ?	diomede	diomede	Concept	Entity	Event Argument - Concept
how does mr. peter s feel about tom not allowing him access to the patents ?	he gets angry .	mad	Attribute	States	Nested Relation
with whom did ernest have an antagonistic relationship with ?	his parents .	his parents .	Concept	Entity	Relation between Concepts
who is mrs.graham s son ?	arthur .	arthur .	Concept	Entity	Relation between Concepts
why does soames get upset with beerbohm ?	he thinks beerbohm wrote bad stuff about him	beerbohm wrote a fictional story about soames .	Event	Event Expression	Causal Relation
how does diana feel when ahmed tells her to leave ?	she is upset .	sad	Attribute	States	Temporal Relation
who discovered the tregennis siblings the morning after the tragedy ?	the housekeeper	the housekeeper	Concept	Entity	Temporal Relation
what did mrs. altmeyer do after nina leaves ?	she left and took dain s money with her	he erased the footprints	Event	Event Expression	Temporal Relation
"besides being blind , why ca n't newton continue his mission ?"	different planetary alignment .	the planetary alignments	Attribute	States	Causal Relation
what trigger the transfer of the ship to the present ?	eathquake	earthquake	Event	Event Name	Causal Relation
"when mary s brother died , who became the heir to her family s fortune ?"	mary	mary	Concept	Entity	Temporal Relation
